ii                            mean         std         2.5q         25q         50q         75q      97.5q       mc_err
a(0.0)                     2.12083    0.180185      1.76005     1.99853     2.12712     2.24339    2.46467   0.00407398
a(0.2)                      2.0562    0.171334      1.72161     1.94322     2.05621     2.17405    2.39351   0.00370779
a(1.0)                     2.02653   0.0916254      1.84433     1.96859     2.02676     2.08681    2.21026   0.00222416
a(1.1)                     2.00318    0.100652      1.79087     1.94228     2.00343      2.0698    2.20957   0.00267711
a(1.2)                     1.90924   0.0988584        1.722     1.84053     1.90713     1.97626     2.1117   0.00245627
a_std                     0.601207   0.0432556      0.52606    0.571081    0.596507    0.628631   0.692952   0.00121347
a_subj(0.0).39             1.11081   0.0392332      1.03633     1.08433     1.11082     1.13809    1.18537    0.0014366
a_subj(0.2).39             1.22124   0.0329338      1.15857      1.1978     1.22065      1.2436    1.28604   0.00104829
a_subj(0.0).40               2.428   0.0681361      2.29199     2.38317     2.42874      2.4737     2.5677   0.00206147
a_subj(0.2).40             2.08796   0.0605125      1.97238     2.04571     2.08664     2.12933    2.20208   0.00178073
a_subj(0.0).41             2.93534   0.0811279      2.77593     2.88087     2.93426      2.9899    3.10115   0.00233296
a_subj(0.2).41             3.09154    0.087467      2.92847     3.03083     3.09188     3.15043      3.268   0.00240605
a_subj(0.0).42             2.32716   0.0817708      2.17684     2.27127     2.32412     2.38056    2.49224   0.00279747
a_subj(0.2).42             2.72558    0.100546      2.53066     2.65785     2.72648     2.79119    2.92426   0.00351244
a_subj(0.0).43             2.71219     0.13023      2.46966      2.6175     2.71377      2.7985    2.97857   0.00646574
a_subj(0.2).43             2.60531   0.0907842      2.43247     2.54435     2.60422     2.66343    2.79986   0.00288635
a_subj(0.0).44             2.87452    0.136953       2.6105     2.78285     2.87277     2.96746    3.14202   0.00604954
a_subj(0.2).44             2.53033    0.121765      2.31602     2.44464     2.52621     2.60966    2.79288    0.0059647
a_subj(0.0).45             1.77142   0.0874513      1.60949     1.70993     1.77037     1.83266    1.95181   0.00432601
a_subj(0.2).45             1.64487    0.076017      1.50372     1.59251      1.6419     1.69578    1.79944   0.00361556
a_subj(0.0).46             2.74903   0.0932632       2.5615     2.68669     2.74671     2.80936    2.93433   0.00358855
a_subj(0.2).46              2.2879    0.105805      2.10415     2.21291     2.28067     2.35423    2.51275   0.00461348
a_subj(0.0).47             1.47914   0.0534896      1.38046     1.44103     1.47711     1.51409    1.58612   0.00176823
a_subj(0.2).47             1.42167   0.0543385      1.32242     1.38412     1.41832     1.45747    1.53195   0.00223613
a_subj(0.0).48             1.66051   0.0841277      1.50693     1.60365       1.657      1.7138    1.84073    0.0043337
a_subj(0.2).48             1.55662    0.073028      1.41573     1.50801     1.55577     1.60331    1.70975   0.00343659
a_subj(1.0).1              1.46584   0.0529156      1.36534     1.43112     1.46357     1.49777    1.57524   0.00173708
a_subj(1.1).1              2.01981   0.0648878      1.89278     1.97372     2.02087     2.06526    2.14653   0.00202747
a_subj(1.2).1              1.72199   0.0620168      1.60824     1.68006     1.71942     1.76129    1.85298   0.00237935
a_subj(1.0).2              1.66318   0.0394243      1.58546     1.63667     1.66299     1.69113    1.73943   0.00102607
a_subj(1.1).2              1.91934   0.0703415      1.78413     1.87265     1.92001     1.96724    2.05777    0.0026006
a_subj(1.2).2               1.5128   0.0460547      1.42608     1.48021     1.51132     1.54279    1.60546   0.00132544
a_subj(1.0).3              2.21044    0.070165      2.07769     2.16383     2.21044     2.25822    2.34654   0.00209986
a_subj(1.1).3               1.9502   0.0710602      1.81488     1.90166     1.95001     1.99804      2.092   0.00277988
a_subj(1.2).3              1.50029    0.045053      1.41225     1.46868     1.50112     1.53139    1.58757   0.00129678
a_subj(1.0).4              1.17332    0.036057      1.10357     1.14851     1.17291     1.19854    1.24369   0.00104319
