subject block trial unshuffledTrial goStop goNum threat img hand SSD DELTA gotResponse correctResp resp rt
10 1 1 52 go 1 no img2 1 0.000000 0.000000 1 1 yes 1176
10 1 2 43 go 1 yes img1 1 0.000000 0.000000 1 1 no 1042
10 1 3 32 go 1 no img2 1 0.000000 0.000000 1 1 yes 430
10 1 4 65 go 1 yes img1 1 0.000000 0.000000 1 1 no 456
10 1 5 33 go 1 yes img1 1 0.000000 0.000000 1 1 yes 352
10 1 6 76 go 1 no img2 1 0.000000 0.000000 1 1 yes 833
10 1 7 86 go 1 no img2 1 0.000000 0.000000 1 1 no 408
10 1 8 59 stop 0 yes img1 1 0.233300 0.033300 0 1 NORESP 3000
10 1 9 25 go 1 yes img1 1 0.233300 0.033300 1 1 no 1140
10 1 10 40 stop 0 no img2 1 0.266600 0.066600 1 0 yes 1984
10 1 11 87 go 1 yes img1 1 0.266600 0.066600 1 1 no 1000
10 1 12 18 go 1 no img2 1 0.266600 0.066600 1 1 yes 690
10 1 13 42 go 1 no img2 1 0.266600 0.066600 1 1 yes 657
10 1 14 47 go 1 yes img1 1 0.266600 0.066600 1 1 no 409
10 1 15 14 go 1 no img2 1 0.266600 0.066600 1 1 yes 398
10 1 16 122 go 1 no img2 1 0.266600 0.066600 1 1 no 388
10 1 17 9 stop 0 yes img1 1 0.233300 0.033300 1 0 no 2070
10 1 18 98 go 1 no img2 1 0.233300 0.033300 1 1 yes 586
10 1 19 44 go 1 no img2 1 0.233300 0.033300 1 1 yes 573
10 1 20 80 stop 0 no img2 1 0.200000 0.000000 1 0 yes 432
10 1 21 74 go 1 no img2 1 0.200000 0.000000 1 1 yes 829
10 1 22 120 stop 0 no img2 1 0.166700 -0.033300 1 0 yes 446
10 1 23 4 go 1 no img2 1 0.166700 -0.033300 1 1 yes 1044
10 1 24 117 go 1 yes img1 1 0.166700 -0.033300 1 1 no 617
10 1 25 97 go 1 yes img1 1 0.166700 -0.033300 1 1 no 578
10 1 26 50 stop 0 no img2 1 0.133400 -0.066600 0 1 NORESP 2999
10 1 27 22 go 1 no img2 1 0.133400 -0.066600 1 1 yes 618
10 1 28 119 stop 0 yes img1 1 0.166700 -0.033300 1 0 no 1942
10 1 29 48 go 1 no img2 1 0.166700 -0.033300 1 1 yes 592
10 1 30 114 go 1 no img2 1 0.166700 -0.033300 1 1 yes 509
10 1 31 92 go 1 no img2 1 0.166700 -0.033300 1 1 yes 481
10 1 32 75 go 1 yes img1 1 0.166700 -0.033300 1 1 yes 386
10 1 33 11 go 1 yes img1 1 0.166700 -0.033300 1 1 no 743
10 1 34 60 stop 0 no img2 1 0.133400 -0.066600 1 0 yes 1088
10 1 35 125 go 1 yes img1 1 0.133400 -0.066600 1 1 no 1170
10 1 36 72 go 1 no img2 1 0.133400 -0.066600 1 1 yes 843
10 1 37 127 go 1 yes img1 1 0.133400 -0.066600 1 1 no 467
10 1 38 109 stop 0 yes img1 1 0.100100 -0.099900 1 0 no 1466
